"Wavelength, µm","n"
0.21,1.163
0.22,1.206
0.23,1.265
0.24,1.321
0.25,1.36
0.26,1.382
0.27,1.4
0.28,1.42
0.29,1.44
0.3,1.453
0.31,1.454
0.32,1.437
0.33,1.401
0.34,1.35
0.35,1.292
0.36,1.238
0.37,1.193
0.38,1.156
0.39,1.126
0.4,1.098
0.41,1.072
0.42,1.047
0.43,1.024
0.44,1.002
0.45,0.98
0.46,0.959
0.47,0.937
0.48,0.912
0.49,0.883
0.5,0.846
0.51,0.798
0.52,0.738
0.53,0.667
0.54,0.592
0.55,0.519
0.56,0.457
0.57,0.409
0.58,0.377
0.59,0.357
0.6,0.346
0.61,0.339
0.62,0.333
0.63,0.327
0.64,0.323
0.65,0.32
0.66,0.317
0.67,0.314
0.68,0.311
0.69,0.308
0.7,0.306
0.71,0.305
0.72,0.304
0.73,0.302
0.74,0.3
0.75,0.298
0.76,0.296
0.77,0.294
0.78,0.293
0.79,0.293
0.8,0.291
0.81,0.287
0.82,0.283
0.83,0.28
0.84,0.279
0.85,0.278
0.86,0.279
0.87,0.279
0.88,0.28
0.89,0.284
0.9,0.289
0.91,0.293
0.92,0.295
0.93,0.298
0.94,0.303
0.95,0.308
0.96,0.312
0.97,0.315
0.98,0.318
0.99,0.321
1,0.323
1.01,0.327
1.02,0.33
1.03,0.333
1.04,0.336
1.05,0.339
1.06,0.341
1.07,0.343
1.08,0.346
1.09,0.348
1.1,0.35
1.11,0.354
1.12,0.357
1.13,0.361
1.14,0.365
1.15,0.368
1.16,0.371
1.17,0.374
1.18,0.378
1.19,0.381
1.2,0.384
1.21,0.385
1.22,0.386
1.23,0.388
1.24,0.391
1.25,0.395
1.26,0.399
1.27,0.403
1.28,0.406
1.29,0.41
1.3,0.415
1.31,0.42
1.32,0.425
1.33,0.431
1.34,0.435
1.35,0.439
1.36,0.443
1.37,0.448
1.38,0.453
1.39,0.457
1.4,0.461
1.41,0.464
1.42,0.467
1.43,0.47
1.44,0.473
1.45,0.477
1.46,0.482
1.47,0.487
1.48,0.492
1.49,0.497
1.5,0.503
1.51,0.508
1.52,0.514
1.53,0.52
1.54,0.525
1.55,0.531
1.56,0.536
1.57,0.542
1.58,0.548
1.59,0.555
1.6,0.562
1.61,0.567
1.62,0.571
1.63,0.577
1.64,0.582
1.65,0.589
1.66,0.595
1.67,0.601
1.68,0.607
1.69,0.614
1.7,0.62
1.71,0.626
1.72,0.631
1.73,0.634
1.74,0.638
1.75,0.642
1.76,0.646
1.77,0.651
1.78,0.655
1.79,0.66
1.8,0.666
1.81,0.672
1.82,0.68
1.83,0.686
1.84,0.694
1.85,0.7
1.86,0.706
1.87,0.714
1.88,0.72
1.89,0.728
1.9,0.734
1.91,0.742
1.92,0.748
1.93,0.756
1.94,0.764
1.95,0.77
1.96,0.778
1.97,0.784
1.98,0.792
1.99,0.8
2,0.807
2.01,0.815
2.02,0.823
2.03,0.829
2.04,0.837
2.05,0.846
2.06,0.854
2.07,0.862
2.08,0.869
2.09,0.877
2.1,0.885
2.11,0.891
2.12,0.899
2.13,0.906
2.14,0.912
2.15,0.918
2.16,0.924
2.17,0.931
2.18,0.939
2.19,0.945
2.2,0.952
2.21,0.96
2.22,0.967
2.23,0.976
2.24,0.984
2.25,0.991
2.26,0.999
2.27,1.006
2.28,1.015
2.29,1.023
2.3,1.03
2.31,1.039
2.32,1.046
2.33,1.054
2.34,1.062
2.35,1.069
2.36,1.078
2.37,1.085
2.38,1.094
2.39,1.102
2.4,1.109
2.41,1.118
2.42,1.125
2.43,1.134
2.44,1.14
2.45,1.149
2.46,1.159
2.47,1.165
2.48,1.174
2.49,1.184
2.5,1.188
2.5063,1.194
2.5126,1.199
2.5189,1.205
2.5253,1.211
2.5316,1.216
2.5381,1.222
2.5445,1.227
2.551,1.232
2.5575,1.237
2.5641,1.242
2.5707,1.248
2.5773,1.253
2.584,1.259
2.5907,1.264
2.5974,1.269
2.6042,1.275
2.611,1.28
2.6178,1.285
2.6247,1.29
2.6316,1.296
2.6385,1.301
2.6455,1.306
2.6525,1.312
2.6596,1.317
2.6667,1.323
2.6738,1.329
2.681,1.334
2.6882,1.34
2.6954,1.345
2.7027,1.351
